Model parameter,Values,Best Score
boosting_type,gbdt,0.6590821049147089
colsample_bytree,0.1,0.6590821049147089
learning_rate,0.5,0.6590821049147089
max_depth,3,0.6590821049147089
min_data_in_leaf,1,0.6590821049147089
min_sum_hessian_in_leaf,0.001,0.6590821049147089
n_estimators,10,0.6590821049147089
num_leaves,10,0.6590821049147089
num_threads,3,0.6590821049147089
reg_alpha,0.01,0.6590821049147089
reg_lambda,0.03,0.6590821049147089
subsample,0.1,0.6590821049147089
tree_learner,serial,0.6590821049147089
